AnimalID,AnimalType,Breed,Color,Sex,IntakeType,IntakeCondition,AgeInDays,AgeGroup,breed_type,Color_grouped,Season,IntakeMonth,DaysInShelter,OutcomeClass
A721214,Dog,Miniature Schnauzer Mix,Gray/Black,Neutered Male,Public Assist,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Invierno,2,8,Return to Owner
A728681,Cat,Domestic Shorthair Mix,Orange Tabby,Intact Male,Stray,Injured,30.0,Cachorro (<6m),mix,Monocolor,Verano,6,0,Transfer
A765068,Cat,Domestic Medium Hair Mix,Black/White,Intact Male,Stray,Normal,120.0,Cachorro (<6m),mix,Bicolor,Invierno,1,5,Adoption
A807058,Dog,Dachshund Longhair,Brown,Intact Male,Stray,Normal,3650.0,Senior (>7a),purebred,Monocolor,Otoño,10,4,Transfer
A781838,Dog,Australian Cattle Dog/Labrador Retriever,White/Tan,Intact Female,Stray,Normal,120.0,Cachorro (<6m),purebred,Bicolor,Otoño,10,4,Adoption
A720806,Dog,Labrador Retriever Mix,Black,Neutered Male,Stray,Normal,1825.0,Adulto (3-7a),mix,Monocolor,Invierno,2,5,Adoption
A788607,Cat,Siamese Mix,Lynx Point/White,Neutered Male,Public Assist,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Invierno,2,6,Return to Owner
A780348,Cat,Domestic Shorthair Mix,Brown Tabby,Neutered Male,Stray,Normal,28.0,Cachorro (<6m),mix,Monocolor,Otoño,9,135,Adoption
A591133,Dog,Pit Bull,Black/White,Spayed Female,Stray,Normal,1825.0,Adulto (3-7a),purebred,Bicolor,Otoño,10,8,Return to Owner
A709577,Dog,Pit Bull Mix,Red/White,Intact Male,Stray,Normal,150.0,Cachorro (<6m),mix,Bicolor,Verano,8,17,Adoption
A745994,Cat,Domestic Shorthair Mix,Torbie,Intact Female,Owner Surrender,Normal,30.0,Cachorro (<6m),mix,Monocolor,Primavera,3,2,Adoption
A664336,Cat,Domestic Shorthair Mix,Calico,Intact Female,Stray,Normal,60.0,Cachorro (<6m),mix,Monocolor,Otoño,10,6,Adoption
A721898,Dog,Chihuahua Shorthair Mix,Tan/White,Intact Female,Stray,Normal,90.0,Cachorro (<6m),mix,Bicolor,Primavera,3,3,Transfer
A685638,Dog,Pointer Mix,White/Brown,Spayed Female,Owner Surrender,Normal,2190.0,Adulto (3-7a),mix,Bicolor,Verano,8,12,Transfer
A781423,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,Stray,Normal,180.0,Joven (6m-1a),mix,Monocolor,Otoño,9,4,Adoption
A825665,Cat,Domestic Shorthair,Brown Tabby/White,Neutered Male,Stray,Injured,2920.0,Senior (>7a),purebred,Bicolor,Otoño,11,39,Adoption
A798426,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,Stray,Normal,21.0,Cachorro (<6m),mix,Monocolor,Verano,6,38,Adoption
A738754,Dog,Cocker Spaniel Mix,Black,Neutered Male,Stray,Normal,3285.0,Senior (>7a),mix,Monocolor,Otoño,11,0,Return to Owner
A693199,Dog,Chihuahua Shorthair Mix,Black/Tan,Spayed Female,Stray,Normal,3650.0,Senior (>7a),mix,Bicolor,Invierno,12,3,Transfer
A792989,Dog,Labrador Retriever Mix,Black,Intact Female,Stray,Normal,1825.0,Adulto (3-7a),mix,Monocolor,Primavera,4,292,Adoption
A810161,Dog,Australian Cattle Dog,Blue Tick/Black,Spayed Female,Owner Surrender,Normal,60.0,Cachorro (<6m),purebred,Bicolor,Invierno,12,0,Adoption
A728447,Cat,Domestic Shorthair Mix,Black Tabby,Intact Female,Stray,Normal,1095.0,Adulto (3-7a),mix,Monocolor,Verano,6,7,Transfer
