AnimalID,AnimalType,Breed,Color,Sex,IntakeType,IntakeCondition,AgeInDays,AgeGroup,breed_type,Color_grouped,Season,OutcomeClass
A715376,Dog,Siberian Husky,Black/White,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),purebred,Bicolor,Otoño,Return to Owner
A749468,Cat,Domestic Shorthair Mix,Orange Tabby,Intact Male,Stray,Normal,1095.0,Adulto (3-7a),mix,Monocolor,Primavera,Transfer
A744684,Dog,American Foxhound Mix,Tricolor,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Primavera,Return to Owner
A773528,Cat,Domestic Shorthair Mix,Calico,Intact Female,Stray,Normal,28.0,Cachorro (<6m),mix,Monocolor,Verano,Adoption
A766331,Dog,Pit Bull Mix,White/Gray,Spayed Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Adoption
A781661,Dog,Jack Russell Terrier Mix,White/Tricolor,Spayed Female,Public Assist,Normal,1825.0,Adulto (3-7a),mix,Bicolor,Otoño,Transfer
A770206,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Primavera,Adoption
A760274,Cat,Domestic Shorthair Mix,Orange Tabby/White,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Otoño,Adoption
A706460,Cat,Domestic Shorthair Mix,Blue Tabby,Intact Female,Stray,Normal,60.0,Cachorro (<6m),mix,Monocolor,Verano,Adoption
A717217,Dog,German Shepherd/Collie Rough,Red/Black,Intact Female,Public Assist,Aged,3650.0,Senior (>7a),purebred,Bicolor,Invierno,Return to Owner
A754914,Dog,Labrador Retriever Mix,Black,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Verano,Transfer
A743875,Cat,Domestic Shorthair Mix,Torbie,Intact Female,Stray,Normal,28.0,Cachorro (<6m),mix,Monocolor,Invierno,Adoption
A736125,Dog,Pit Bull Mix,Blue/White,Intact Female,Stray,Normal,1460.0,Adulto (3-7a),mix,Bicolor,Primavera,Return to Owner
