AnimalType,Sex,IntakeType,IntakeCondition,AgeInDays,AgeGroup,breed_type,Color_grouped,Season,OutcomeClass,AgeInDays_log
Dog,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Invierno,Adoption,3.4339872044851463
Dog,Intact Male,Owner Surrender,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Primavera,Adoption,6.999422467507961
Dog,Neutered Male,Public Assist,Normal,1095.0,Adulto (3-7a),mix,Monocolor,Otoño,Return to Owner,6.999422467507961
Dog,Spayed Female,Owner Surrender,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Otoño,Adoption,6.594413459749778
Dog,Intact Male,Stray,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Invierno,Transfer,6.999422467507961
Cat,Intact Female,Stray,Injured,30.0,Cachorro (<6m),mix,Monocolor,Primavera,Adoption,3.4339872044851463
Cat,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),purebred,Bicolor,Verano,Transfer,6.594413459749778
Cat,Neutered Male,Stray,Normal,1460.0,Adulto (3-7a),mix,Monocolor,Otoño,At Risk,7.2868764117507
Cat,Intact Female,Stray,Injured,120.0,Cachorro (<6m),purebred,Monocolor,Invierno,At Risk,4.795790545596741
Dog,Intact Male,Stray,Normal,30.0,Cachorro (<6m),purebred,Monocolor,Invierno,Adoption,3.4339872044851463
Dog,Intact Male,Public Assist,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Return to Owner,6.594413459749778
Dog,Intact Male,Stray,Normal,30.0,Cachorro (<6m),purebred,Bicolor,Otoño,Adoption,3.4339872044851463
Cat,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Invierno,Transfer,6.594413459749778
Cat,Intact Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Otoño,Adoption,5.902633333401366
Cat,Spayed Female,Owner Surrender,Normal,1460.0,Adulto (3-7a),mix,Monocolor,Invierno,Transfer,7.2868764117507
Cat,Intact Male,Stray,Normal,60.0,Cachorro (<6m),purebred,Monocolor,Verano,Transfer,4.110873864173311
Dog,Intact Male,Stray,Injured,730.0,Adulto joven (1-3a),purebred,Bicolor,Otoño,Return to Owner,6.594413459749778
Cat,Neutered Male,Public Assist,Normal,180.0,Joven (6m-1a),mix,Monocolor,Otoño,Return to Owner,5.198497031265826
Dog,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Transfer,6.594413459749778
Dog,Intact Female,Stray,Normal,270.0,Joven (6m-1a),purebred,Bicolor,Otoño,Return to Owner,5.602118820879701
Dog,Neutered Male,Stray,Normal,2920.0,Senior (>7a),purebred,Monocolor,Primavera,Return to Owner,7.979681302387741
Cat,Intact Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),purebred,Monocolor,Otoño,Transfer,5.902633333401366
Dog,Neutered Male,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Otoño,Adoption,5.902633333401366
Dog,Spayed Female,Stray,Normal,1460.0,Adulto (3-7a),mix,Bicolor,Primavera,Return to Owner,7.2868764117507
Dog,Spayed Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Verano,Adoption,5.902633333401366
Dog,Intact Female,Stray,Normal,60.0,Cachorro (<6m),mix,Bicolor,Otoño,Adoption,4.110873864173311
Dog,Neutered Male,Owner Surrender,Normal,1460.0,Adulto (3-7a),purebred,Monocolor,Verano,Transfer,7.2868764117507
Cat,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),purebred,Monocolor,Invierno,Adoption,6.594413459749778
Dog,Spayed Female,Stray,Injured,3285.0,Senior (>7a),mix,Monocolor,Invierno,At Risk,8.097426298597213
Dog,Intact Female,Stray,Normal,90.0,Cachorro (<6m),mix,Bicolor,Verano,Adoption,4.51085950651685
Dog,Spayed Female,Stray,Normal,2555.0,Senior (>7a),purebred,Monocolor,Verano,Return to Owner,7.846198815497425
Cat,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Otoño,Adoption,3.4339872044851463
Dog,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Primavera,Adoption,6.594413459749778
Dog,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Verano,Adoption,5.902633333401366
Cat,Intact Male,Stray,Injured,365.0,Adulto joven (1-3a),mix,Monocolor,Invierno,Transfer,5.902633333401366
Dog,Intact Male,Stray,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Otoño,Return to Owner,6.999422467507961
Dog,Intact Female,Stray,Nursing,14.0,Cachorro (<6m),purebred,Bicolor,Primavera,Adoption,2.70805020110221
Dog,Neutered Male,Stray,Normal,3650.0,Senior (>7a),mix,Bicolor,Primavera,Return to Owner,8.202756381655638
Dog,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Invierno,Adoption,5.902633333401366
Dog,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),purebred,Bicolor,Otoño,Adoption,6.594413459749778
Cat,Intact Male,Stray,Normal,28.0,Cachorro (<6m),purebred,Monocolor,Otoño,Adoption,3.367295829986474
Dog,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),purebred,Bicolor,Invierno,Transfer,6.594413459749778
Dog,Intact Female,Stray,Sick,60.0,Cachorro (<6m),purebred,Bicolor,Otoño,Adoption,4.110873864173311
Dog,Neutered Male,Stray,Normal,2190.0,Adulto (3-7a),mix,Bicolor,Otoño,Return to Owner,7.692113339595466
Dog,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Primavera,Return to Owner,5.902633333401366
Cat,Intact Male,Stray,Normal,60.0,Cachorro (<6m),mix,Monocolor,Verano,Transfer,4.110873864173311
Dog,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Primavera,Adoption,6.594413459749778
Cat,Neutered Male,Owner Surrender,Normal,270.0,Joven (6m-1a),mix,Monocolor,Primavera,Transfer,5.602118820879701
Dog,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Otoño,Adoption,5.902633333401366
